key,value
DT.INT.DPPG.CD,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)"
DT.INT.DSTC.CD,"Interest payments on external debt, short-term (INT, current US$)"
DT.INT.PRPG.CD,"Interest payments on external debt, private guaranteed by public sector (PPG) (INT, current US$)"
DT.MAT.DPPG,Average maturity on new external debt commitments (years)
DT.MAT.OFFT,"Average maturity on new external debt commitments, official (years)"
DT.MAT.PRVT,"Average maturity on new external debt commitments, private (years)"
DT.NFL.DECB.CD,"Net flows on external debt, central bank (PPG) (NFL, current US$)"
DT.NFL.DECT.CD,"Net flows on external debt, total (NFL, current US$)"
DT.NFL.DEGG.CD,"Net flows on external debt, general government sector (PPG) (NFL, current US$)"
DT.NFL.DEPS.CD,"Net flows on external debt, public sector (PPG) (NFL, current US$)"
DT.NFL.DLXF.CD,"Net flows on external debt, long-term (NFL, current US$)"
DT.NFL.DOPS.CD,"Net flows on external debt, other public sector (PPG) (NFL, current US$)"
DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)"
DT.NFL.DPPG.CD,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)"
DT.NFL.DSTC.CD,"Net flows on external debt, short-term (NFL, current US$)"
DT.NFL.PRPG.CD,"Net flows on external debt, private guaranteed by public sector (PPG) (NFL, current US$)"
DT.NTR.DECB.CD,"Net transfers on external debt, central bank (PPG) (NTR, current US$)"
DT.NTR.DECT.CD,"Net transfers on external debt, total (NTR, current US$)"
DT.NTR.DEGG.CD,"Net transfers on external debt, general government sector (PPG) (NTR, current US$)"
DT.NTR.DEPS.CD,"Net transfers on external debt, public sector (PPG) (NTR, current US$)"
DT.NTR.DLXF.CD,"Net transfers on external debt, long-term (NTR, current US$)"
DT.NTR.DOPS.CD,"Net transfers on external debt, other public sector (PPG) (NTR, current US$)"
DT.NTR.DPNG.CD,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)"
DT.NTR.DPPG.CD,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)"
DT.NTR.PRPG.CD,"Net transfers on external debt, private guaranteed by public sector (PPG) (NTR, current US$)"
DT.TDS.DECB.CD,"Debt service on external debt, central bank (PPG) (TDS, current US$)"
DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)"
DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and primary income)"
DT.TDS.DEGG.CD,"Debt service on external debt, general government sector (PPG) (TDS, current US$)"
DT.TDS.DEPS.CD,"Debt service on external debt, public sector (PPG) (TDS, current US$)"
DT.TDS.DLXF.CD,"Debt service on external debt, long-term (TDS, current US$)"
DT.TDS.DOPS.CD,"Debt service on external debt, other public sector (PPG) (TDS, current US$)"
DT.TDS.DPNG.CD,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)"
DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)"
DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)"
DT.TDS.PRPG.CD,"Debt service on external debt, private guaranteed by public sector (PPG) (TDS, current US$)"
DT.TXR.DPPG.CD,Total amount of debt rescheduled (current US$)
DT.UND.DPPG.CD,"Undisbursed external debt, total (UND, current US$)"
DT.UND.OFFT.CD,"Undisbursed external debt, official creditors (UND, current US$)"
DT.UND.PRVT.CD,"Undisbursed external debt, private creditors (UND, current US$)"
FI.RES.TOTL.DT.ZS,Total reserves (% of total external debt)
